SDETUR1S2E24,CA_999387_35868_00
SDETUR1S2E25,CA_999387_35724_00
SDETUR1S2E26,CA_999387_35694_00
SDETUR1S2E27,CA_999387_35808_00
SDETUR1S2E28,CA_999387_35826_00
SDETUR1S2E29,CA_999387_35696_00
SDETUR1S2E30,CA_999387_35869_00
SDETUR1S2E31,CA_999387_35757_00
SDETUR1S2E32,CA_999387_35695_00
SDETUR1S2E33,CA_999387_35809_00
SDETUR1S2E34,CA_999387_35743_00
SDETUR1S2E35,CA_999387_35817_00
SDETUR1S2E36,CA_999387_35770_00
SDETUR1S2E37,CA_999387_35827_00
SDETUR1S2E38,CA_999387_35780_00
SDETUR1S2E39,CA_999387_35744_00
SDETUR1S2E40,CA_999387_35697_00
SDETUR1S5E1,CA_999387_35787_00
SDETUR1S5E2,CA_999387_35738_00
SDETUR1S5E3,CA_999387_35812_00
SDETUR1S5E4,CA_999387_35836_00
SDETUR1S5E5,CA_999387_35860_00
SDETUR1S5E6,CA_999387_35850_00
SDETUR1S5E7,CA_999387_35813_00
SDETUR1S5E8,CA_999387_35801_00
SDETUR1S5E9,CA_999387_35814_00
SDETUR1S5E10,CA_999387_35820_00
SDETUR1S5E11,CA_999387_35704_00
SDETUR1S5E12,CA_999387_35878_00
SDETUR1S5E13,CA_999387_35750_00
SDETUR1S5E14,CA_999387_35879_00
SDETUR1S5E15,CA_999387_35838_00
SDETUR1S5E16,CA_999387_35802_00
SDETUR1S5E17,CA_999387_35851_00
SDETUR1S5E18,CA_999387_35739_00
SDETUR1S5E19,CA_999387_35719_00
SDETUR1S5E20,CA_999387_35775_00
SDETUR1S5E21,CA_999387_35778_00
SDETUR1S5E22,CA_999387_35880_00
SDETUR1S5E23,CA_999387_35767_00
SDETUR1S5E24,CA_999387_35790_00
SDETUR1S5E25,CA_999387_35803_00
SDETUR1S5E26,CA_999387_35837_00
SDETUR1S5E27,CA_999387_35861_00
SDETUR1S5E28,CA_999387_35821_00
SDETUR1S5E29,CA_999387_35730_00
SDETUR1S5E30,CA_999387_35881_00
SDETUR1S5E31,CA_999387_35768_00
SDETUR1S5E32,CA_999387_35862_00
SDETUR1S5E33,CA_999387_35864_00
SDETUR1S5E34,CA_999387_35839_00
SDETUR1S5E35,CA_999387_35840_00
SDETUR1S5E36,CA_999387_35789_00
SDETUR1S5E37,CA_999387_35740_00
SDETUR1S5E38,CA_999387_35751_00
SDETUR1S5E39,CA_999387_35852_00
SDETUR1S5E40,CA_999387_35815_00
SLOSTR1S1E1,CA_000542_45767_00
SLOSTR1S1E2,CA_000542_45766_00
SLOSTR1S1E3,CA_000542_45790_00
SLOSTR1S1E4,CA_000542_45768_00
SLOSTR1S1E5,CA_000542_45769_00
SLOSTR1S1E6,CA_000542_45770_00
SLOSTR1S1E7,CA_000542_45765_00
SLOSTR1S1E8,CA_000542_45778_00
SLOSTR1S1E9,CA_000542_45784_00
SLOSTR1S1E10,CA_000542_45771_00
SLOSTR1S1E11,CA_000542_45779_00
SLOSTR1S1E12,CA_000542_45772_00
SLOSTR1S1E13,CA_000542_45780_00
SLOSTR1S1E14,CA_000542_45773_00
SLOSTR1S1E15,CA_000542_45785_00
SLOSTR1S1E16,CA_000542_45774_00
SLOSTR1S1E17,CA_000542_45781_00
SLOSTR1S1E18,CA_000542_45791_00
SLOSTR1S1E19,CA_000542_45792_00
SLOSTR1S1E20,CA_000542_45793_00
SLOSTR1S1E21,CA_000542_45786_00
SLOSTR1S1E22,CA_000542_45775_00
SLOSTR1S1E23,CA_000542_45787_00
SLOSTR1S1E24,CA_000542_45782_00
SLOSTR1S1E25,CA_000542_45783_00
SLOSTR1S1E26,CA_000542_45788_00
SLOSTR1S1E27,CA_000542_45789_00
SLOSTR1S1E28,CA_000542_45776_00
SLOSTR1S1E29,CA_000542_45777_00
SICRIM1S5E1,CA_000684_51660_00
SICRIM1S5E2,CA_000684_51647_00
SICRIM1S5E3,CA_000684_51659_00
SICRIM1S5E4,CA_000684_51649_00
SICRIM1S5E5,CA_000684_51831_00
SICRIM1S5E6,CA_000684_51832_00
SICRIM1S5E7,CA_000684_51658_00
SICRIM1S5E8,CA_000684_51657_00
SICRIM1S5E9,CA_000684_51829_00
SICRIM1S5E10,CA_000684_51833_00
SWWBER1S1E1,CA_000603_48568_00
SWWBER1S1E2,CA_000603_48570_00
SWWBER1S1E3,CA_000603_48571_00
SWWBER1S1E4,CA_000603_48572_00
SWWBER1S1E5,CA_000603_6875_00
SWWBER1S1E6,CA_000603_6874_00
SWWBER1S1E7,CA_000603_6877_00
SWWBER1S1E8,CA_000603_6873_00
SAPNEA1S1E1,CA_000622_49156_00
SAPNEA1S1E2,CA_000622_49157_00
SAPNEA1S1E3,CA_000622_49160_00
SAPNEA1S1E4,CA_000622_49155_00
SAPNEA1S1E5,CA_000622_49159_00
SAPNEA1S1E6,CA_000622_49161_00
MACDRA1,CA_000734_1732_00
MAFASO1,CA_000532_178_00
MAYENA1,CA_000532_1728_00
MCQSMS1,CA_000532_1740_00
SMOIAM1S1E1,CA_000601_46312_00
SMOIAM1S1E2,CA_000601_46311_00
SMOIAM1S1E3,CA_000601_46318_00
SMOIAM1S1E4,CA_000601_46320_00
SMOIAM1S1E5,CA_000601_46327_00
SMOIAM1S1E6,CA_000601_46313_00
SMOIAM1S1E7,CA_000601_46328_00
SMOIAM1S1E8,CA_000601_46334_00
SMOIAM1S1E9,CA_000601_46314_00
SMOIAM1S1E10,CA_000601_46315_00
SMOIAM1S1E11,CA_000601_46330_00
SMOIAM1S1E12,CA_000601_46321_00
SMOIAM1S1E13,CA_000601_46316_00
SMOIAM1S1E14,CA_000601_46322_00
SMOIAM1S1E15,CA_000601_46317_00
SMOIAM1S1E16,CA_000601_46329_00
SMOIAM1S1E17,CA_000601_46331_00
SMOIAM1S1E18,CA_000601_46332_00
SMOIAM1S1E19,CA_000601_46323_00
SMOIAM1S1E20,CA_000601_46319_00
